Researcher,Position
Michael Scriney,Insight Centre for Data Analytics
Malika Bendechache,"School of Computing, Dublin City University (DCU)"
Marija Bezbradica,"Lecturer, School of Computing, Dublin City University"
Rob Brennan,"Assistant Professor, School of Computing, Dublin City University"
Annalina Caputo,"Assistant Professor, Dublin City University, ADAPT centre, I-Form centre"
Long Cheng,"Professor, North China Electric Power University"
Paul Clarke,Associate Professor at Dublin City University & Lero
Martin Crane,"School of Computing, Dublin City University"
Charlie Daly,Lecturer in Computer Science
Brian Davis,"Assistant Professor, School of Computing, Dublin City University"
Donal Fitzpatrick,"Lecturer, School of Computing, Dublin City University"
Jennifer Foster,"School of Computing, Dublin City University"
Yvette Graham,"Assistant Professor, Trinity College Dublin"
Cathal Gurrin,"School of Computing, Dublin City University & Insight Centre for Data Analytics"
Geoffrey Hamilton,"Associate Professor, Dublin City University"
Graham Healy,"Assistant Professor, Dublin City University"
Musfira Jilani,"School of Computer Science, Dublin City University"
Gareth Jones,Dublin City University
Suzanne Little,"School of Computing, Dublin City University"
Silvana Togneri MacMahon,Dublin City University
Andrew McCarren,"School of Computer Science, Dublin City University/ Insight Center for Data Analytics"
John McKenna,"School of Computing, Dublin City University"
Alessandra Mileo,Dublin City University
Darragh O'Brien,Dublin City University
Mark Roantree,"School of Computing, Dublin City University"
Heather Ruskin,Dublin City University Professor Emeritus Computational Science
Dimitar Shterionov,Tilburg University
David Sinclair,"School of Computing, Lero, Dublin City University"
Alan F. Smeaton,"Prof of Computing / Founding Director, Insight Centre for Data Analytics, Dublin City University"
Alistair Sutherland,"School of Computing, Dublin City University"
Irina Tal,Dublin City University
Jagadeeswaran Thangaraj,"Dublin City University, Dublin, Ireland"
Ray Walshe,Dublin City University
Monica Ward,Dublin City University
Tomas Ward,"Insight SFI Research Centre for Data Analytics, Dublin City University"
Andy Way,"ADAPT Centre, Dublin City University"
Murat YILMAZ,"Associate Professor, Dept. of Computer Engineering | Gazi University"
